%time,field.Header.seq,field.Header.stamp,field.Header.frame_id,field.Latitude,field.Longitude,field.Altitude,field.utm_easting,field.utm_northing,field.zone,field.letter
1698235889286707239,0,1698235889285655975,GPS1_Frame,42.33702,-71.08986,17.1,327835.4230602797,4689311.422139308,19.0,T
1698235890303092877,0,1698235890302312850,GPS1_Frame,42.33702,-71.08986,17.1,327835.4230602797,4689311.422139308,19.0,T
1698235891302902360,0,1698235891301759719,GPS1_Frame,42.33702,-71.08986,17.1,327835.4230602797,4689311.422139308,19.0,T
1698235892285290611,0,1698235892284220218,GPS1_Frame,42.33702,-71.08986,17.1,327835.4230602797,4689311.422139308,19.0,T
1698235893284825018,0,1698235893283842563,GPS1_Frame,42.33702,-71.08986,17.2,327835.4230602797,4689311.422139308,19.0,T
1698235894301093062,0,1698235894300181150,GPS1_Frame,42.33702,-71.08986,17.2,327835.4230602797,4689311.422139308,19.0,T
1698235895284147666,0,1698235895283199071,GPS1_Frame,42.33702,-71.08986,17.2,327835.4230602797,4689311.422139308,19.0,T
1698235896302318554,0,1698235896301437616,GPS1_Frame,42.33702,-71.08986,17.2,327835.4230602797,4689311.422139308,19.0,T
1698235897284198957,0,1698235897283457994,GPS1_Frame,42.33702,-71.08986,17.2,327835.4230602797,4689311.422139308,19.0,T
1698235898283090729,0,1698235898282289505,GPS1_Frame,42.33702,-71.08986,17.2,327835.4230602797,4689311.422139308,19.0,T
1698235899300051735,0,1698235899299141168,GPS1_Frame,42.33702,-71.08986,17.2,327835.4230602797,4689311.422139308,19.0,T
1698235900299823831,0,1698235900299037933,GPS1_Frame,42.33702,-71.08986,17.2,327835.4230602797,4689311.422139308,19.0,T
1698235901283157061,0,1698235901282240867,GPS1_Frame,42.33702,-71.08986,17.2,327835.4230602797,4689311.422139308,19.0,T
1698235902283173281,0,1698235902282383203,GPS1_Frame,42.33702,-71.08986,17.2,327835.4230602797,4689311.422139308,19.0,T
1698235903282654311,0,1698235903281765460,GPS1_Frame,42.33702,-71.08986,17.2,327835.4230602797,4689311.422139308,19.0,T
1698235904282821933,0,1698235904282000541,GPS1_Frame,42.33702,-71.08986,17.2,327835.4230602797,4689311.422139308,19.0,T
1698235905281880397,0,1698235905281006336,GPS1_Frame,42.33702,-71.08986,17.2,327835.4230602797,4689311.422139308,19.0,T
1698235906280569750,0,1698235906279380559,GPS1_Frame,42.33702,-71.08986,17.2,327835.4230602797,4689311.422139308,19.0,T
1698235907281041441,0,1698235907280151128,GPS1_Frame,42.33702,-71.08986,17.2,327835.4230602797,4689311.422139308,19.0,T
1698235908281162371,0,1698235908280216693,GPS1_Frame,42.33702,-71.08986,17.2,327835.4230602797,4689311.422139308,19.0,T
1698235909280525083,0,1698235909279596090,GPS1_Frame,42.33702,-71.08986,17.2,327835.4230602797,4689311.422139308,19.0,T
1698235910280532216,0,1698235910279528856,GPS1_Frame,42.33702,-71.08986,17.2,327835.4230602797,4689311.422139308,19.0,T
1698235911280306793,0,1698235911279502391,GPS1_Frame,42.33702,-71.08986,17.2,327835.4230602797,4689311.422139308,19.0,T
1698235912280444203,0,1698235912279598474,GPS1_Frame,42.33702,-71.08986,17.2,327835.4230602797,4689311.422139308,19.0,T
1698235913280700049,0,1698235913279802322,GPS1_Frame,42.33702,-71.08986,17.2,327835.4230602797,4689311.422139308,19.0,T
1698235914280812150,0,1698235914279927968,GPS1_Frame,42.33702,-71.08986,17.2,327835.4230602797,4689311.422139308,19.0,T
1698235915279451324,0,1698235915278655767,GPS1_Frame,42.33702,-71.08986,17.2,327835.4230602797,4689311.422139308,19.0,T
1698235916280215706,0,1698235916279309988,GPS1_Frame,42.33702,-71.08986,17.2,327835.4230602797,4689311.422139308,19.0,T
1698235917279987280,0,1698235917279186487,GPS1_Frame,42.33702,-71.08986,17.2,327835.4230602797,4689311.422139308,19.0,T
1698235918278783977,0,1698235918277835845,GPS1_Frame,42.33702,-71.08986,17.2,327835.4230602797,4689311.422139308,19.0,T
1698235919280396113,0,1698235919279447317,GPS1_Frame,42.33702,-71.08986,17.2,327835.4230602797,4689311.422139308,19.0,T
1698235920280941311,0,1698235920280123710,GPS1_Frame,42.33702,-71.08986,17.2,327835.4230602797,4689311.422139308,19.0,T
1698235921280473653,0,1698235921279522895,GPS1_Frame,42.33702,-71.08986,17.2,327835.4230602797,4689311.422139308,19.0,T
1698235922279506596,0,1698235922278671503,GPS1_Frame,42.33702,-71.08986,17.2,327835.4230602797,4689311.422139308,19.0,T
1698235923279808778,0,1698235923278967142,GPS1_Frame,42.33702,-71.08986,17.2,327835.4230602797,4689311.422139308,19.0,T
1698235924279937802,0,1698235924279072761,GPS1_Frame,42.33702,-71.08986,17.2,327835.4230602797,4689311.422139308,19.0,T
1698235925280432858,0,1698235925279245615,GPS1_Frame,42.33702,-71.08986,17.2,327835.4230602797,4689311.422139308,19.0,T
1698235926281298495,0,1698235926280292510,GPS1_Frame,42.33702,-71.08986,17.2,327835.4230602797,4689311.422139308,19.0,T
1698235927280339984,0,1698235927279337406,GPS1_Frame,42.33702,-71.08986,17.2,327835.4230602797,4689311.422139308,19.0,T
1698235928279852226,0,1698235928278966665,GPS1_Frame,42.33702,-71.08986,17.2,327835.4230602797,4689311.422139308,19.0,T
1698235929279847689,0,1698235929278933048,GPS1_Frame,42.33702,-71.08986,17.2,327835.4230602797,4689311.422139308,19.0,T
1698235930279652324,0,1698235930278559684,GPS1_Frame,42.33702,-71.08986,17.2,327835.4230602797,4689311.422139308,19.0,T
1698235931279494874,0,1698235931278641462,GPS1_Frame,42.33702,-71.08986,17.2,327835.4230602797,4689311.422139308,19.0,T
1698235932279298775,0,1698235932278354883,GPS1_Frame,42.33702,-71.08986,17.2,327835.4230602797,4689311.422139308,19.0,T
1698235933279967952,0,1698235933279063224,GPS1_Frame,42.33702,-71.08986,17.1,327835.4230602797,4689311.422139308,19.0,T
1698235934278171315,0,1698235934277282476,GPS1_Frame,42.33702,-71.08986,17.1,327835.4230602797,4689311.422139308,19.0,T
1698235935278409920,0,1698235935277250528,GPS1_Frame,42.33702,-71.08986,17.1,327835.4230602797,4689311.422139308,19.0,T
1698235936278457161,0,1698235936277491807,GPS1_Frame,42.33702,-71.08986,17.1,327835.4230602797,4689311.422139308,19.0,T
1698235937278219078,0,1698235937277299642,GPS1_Frame,42.33702,-71.08986,17.1,327835.4230602797,4689311.422139308,19.0,T
1698235938278782231,0,1698235938277769804,GPS1_Frame,42.337021666666665,-71.08986,16.8,327835.42760866485,4689311.607209944,19.0,T
1698235939295267040,0,1698235939294306993,GPS1_Frame,42.337021666666665,-71.08985833333334,16.4,327835.5649159353,4689311.603835416,19.0,T
1698235940278479908,0,1698235940277502298,GPS1_Frame,42.33701833333333,-71.08985333333334,16.0,327835.96774100745,4689311.223570573,19.0,T
1698235941295846498,0,1698235941294971704,GPS1_Frame,42.33701333333333,-71.08984166666667,15.7,327836.91524692276,4689310.644737099,19.0,T
1698235942295188520,0,1698235942294223308,GPS1_Frame,42.33700833333333,-71.08982333333333,15.5,327838.41198219225,4689310.052405855,19.0,T
1698235943279148107,0,1698235943277984857,GPS1_Frame,42.337001666666666,-71.089795,15.3,327840.7280133227,4689309.254757708,19.0,T
1698235944281253575,0,1698235944280059814,GPS1_Frame,42.336996666666664,-71.08976333333334,15.2,327843.32320777315,4689308.635432227,19.0,T
1698235945298270480,0,1698235945297118425,GPS1_Frame,42.336995,-71.08972833333333,15.3,327846.2021134994,4689308.379500349,19.0,T
1698235946280252868,0,1698235946279357194,GPS1_Frame,42.336996666666664,-71.08969166666667,15.4,327849.2274227353,4689308.49033667,19.0,T
1698235947298244813,0,1698235947297101020,GPS1_Frame,42.337005,-71.08965666666667,15.5,327852.1336162451,4689309.344831027,19.0,T
1698235948282526777,0,1698235948281082868,GPS1_Frame,42.33701833333333,-71.089625,15.6,327854.77883803705,4689310.761286764,19.0,T
1698235949282426729,0,1698235949281381845,GPS1_Frame,42.33703666666667,-71.089595,15.6,327857.30039490375,4689312.736329475,19.0,T
1698235950299885912,0,1698235950299061536,GPS1_Frame,42.33706,-71.08957,15.7,327859.4236720313,4689315.276707131,19.0,T
1698235951299848275,0,1698235951299045085,GPS1_Frame,42.337086666666664,-71.08955333333333,15.7,327860.8695074307,4689318.204096802,19.0,T
1698235952283432246,0,1698235952282613039,GPS1_Frame,42.33711666666667,-71.08954833333334,15.8,327861.36328765,4689321.525246146,19.0,T
1698235953284739560,0,1698235953283736467,GPS1_Frame,42.337145,-71.089555,15.8,327860.89137081755,4689324.68494309,19.0,T
1698235954283058981,0,1698235954282181978,GPS1_Frame,42.33716833333333,-71.08957333333333,15.8,327859.4446626322,4689327.31304659,19.0,T
1698235955283765081,0,1698235955282869338,GPS1_Frame,42.33718666666667,-71.0896,15.7,327857.2977775958,4689329.402809042,19.0,T
1698235956284774478,0,1698235956283771276,GPS1_Frame,42.33719833333333,-71.08963333333334,15.6,327854.5834747444,4689330.765786278,19.0,T
1698235957285008573,0,1698235957284062862,GPS1_Frame,42.337201666666665,-71.08967166666666,15.5,327851.4345123782,4689331.213534071,19.0,T
1698235958284746825,0,1698235958283743381,GPS1_Frame,42.337195,-71.08971333333334,15.5,327847.9836481074,4689330.557608037,19.0,T
1698235959284756169,0,1698235959283961772,GPS1_Frame,42.337178333333334,-71.08975166666667,15.4,327844.7801079409,4689328.784511126,19.0,T
1698235960286075480,0,1698235960285053730,GPS1_Frame,42.337155,-71.08978333333333,15.4,327842.10760105425,4689326.257635427,19.0,T
1698235961286396792,0,1698235961285363435,GPS1_Frame,42.337125,-71.089805,15.5,327840.24074134714,4689322.970231442,19.0,T
1698235962285139447,0,1698235962284098386,GPS1_Frame,42.337091666666666,-71.08981333333334,15.5,327839.46324029315,4689319.285690919,19.0,T
1698235963284277149,0,1698235963283456563,GPS1_Frame,42.33705833333333,-71.08980666666666,15.5,327839.9215032933,4689315.570780373,19.0,T
